,Unnamed: 0,제 50 기말,제 49 기말,제 48 기말,제 50 기,제 49 기,제 48 기
124,장기차입금의 차입,nan000000,nan000000,nan000000,340795,460000,1949084
125,신주인수권행사로 인한 주식의 발행,nan000000,nan000000,nan000000,nan,12,nan
126,연결자본거래로 인한 현금유입액,nan000000,nan000000,nan000000,"(11,477)",nan,nan
127,기타재무활동으로 인한 현금유입액,nan000000,nan000000,nan000000,71,nan,nan
128,단기차입금의 상환,nan000000,nan000000,nan000000,"(185,086)","(401,435)","(275,942)"
129,유동성장기부채의 상환,nan000000,nan000000,nan000000,(295),"(3,382)","(1,182)"
130,사채의 상환,nan000000,nan000000,nan000000,nan,"(25,440)","(215,298)"
131,신주인수권부사채의 상환,nan000000,nan000000,nan000000,nan,"(6,025)","(155,317)"
132,장기차입금의 상환,nan000000,nan000000,nan000000,"(24,033)","(6,077)","(179,130)"
133,주식발행비용,nan000000,nan000000,nan000000,(8),nan,"(8,783)"
134,이자의 지급,nan000000,nan000000,nan000000,"(275,862)","(156,310)","(126,441)"
135,환율변동효과 반영전 현금및현금성자산의 순증가(감소),nan000000,nan000000,nan000000,19390,87516,"(110,406)"
136,환율변동으로 인한 증감,nan000000,nan000000,nan000000,1402,"(2,236)",6285
137,현금의증가(감소),nan000000,nan000000,nan000000,20792,85280,"(104,121)"
138,기초현금및현금성자산,nan000000,nan000000,nan000000,238062,153006,329227
139,외화표시 현금및현금성자산의 환율변동효과,nan000000,nan000000,nan000000,1,124,(50)
140,중단영업부문 현금및현금성자산,nan000000,nan000000,nan000000,"(170,141)",(348),"(72,050)"
141,기말현금및현금성자산,nan000000,nan000000,nan000000,88714,238062,153006
